2019-07-03T07:38:40Z	50.70311 -1.50192	[-0.229899, 0.536432, -9.44504]
2019-07-03T07:38:41Z	50.70311 -1.50192	[-0.0383166, -0.0766332, -9.3684]
2019-07-03T07:38:42Z	50.70311 -1.50192	[-0.153266, 0.172425, -9.6941]
2019-07-03T07:38:43Z	50.70311 -1.50192	[-0.210741, 0.383166, -9.40672]
2019-07-03T07:38:44Z	50.70311 -1.50192	[-0.191583, 0.0766332, -9.38756]
2019-07-03T07:38:45Z	50.70311 -1.50192	[-0.172425, 0.0766332, -9.40672]
2019-07-03T07:38:46Z	50.70311 -1.50192	[-0.268216, 0.0957915, -9.3684]
2019-07-03T07:38:47Z	50.70311 -1.50192	[-0.210741, 0.0574749, -9.42588]
2019-07-03T07:38:48Z	50.70311 -1.50192	[-0.306533, 0.0191583, -9.44504]
2019-07-03T07:38:49Z	50.70311 -1.50192	[-1.59014, 1.22613, -9.40672]
2019-07-03T07:38:50Z	50.70311 -1.50192	[-0.229899, -0.210741, -9.40672]
2019-07-03T07:38:51Z	50.70311 -1.50192	[-0.268216, 0.0191583, -9.44504]
2019-07-03T07:38:52Z	50.70311 -1.50192	[-0.249058, 0.172425, -9.3684]
2019-07-03T07:38:53Z	50.70311 -1.50192	[-0.210741, -0.134108, -9.3684]
2019-07-03T07:38:54Z	50.70311 -1.50192	[-0.268216, 0.0191583, -9.31093]
2019-07-03T07:38:55Z	50.70311 -1.50192	[-0.364008, 0.0766332, -9.38756]
2019-07-03T07:38:56Z	50.70311 -1.50192	[-0.306533, 0.11495, -9.92399]
2019-07-03T07:38:57Z	50.70311 -1.50192	[-0.249058, 0.364008, -9.44504]
2019-07-03T07:38:58Z	50.70311 -1.50192	[-0.383166, -0.402324, -9.78989]
2019-07-03T07:38:59Z	50.70311 -1.50192	[-0.0383166, 0.153266, -9.29177]
2019-07-03T07:39:00Z	50.70311 -1.50192	[-0.306533, -1.76256, -10.9969]
2019-07-03T07:39:01Z	50.70311 -1.50192	[-0.0957915, 0.306533, -9.40672]
2019-07-03T07:39:02Z	50.70311 -1.50192	[0.210741, 0.364008, -9.44504]
2019-07-03T07:39:03Z	50.70311 -1.50192	[-0.210741, 0.0383166, -9.42588]
2019-07-03T07:39:04Z	50.70311 -1.50192	[-0.172425, 0.134108, -9.34925]
2019-07-03T07:39:05Z	50.70311 -1.50192	[-0.402324, -0.402324, -9.57915]
2019-07-03T07:39:06Z	50.70311 -1.50192	[-0.249058, 0.191583, -9.4642]
2019-07-03T07:39:07Z	50.70311 -1.50192	[-0.134108, 0.0383166, -9.3684]
2019-07-03T07:39:08Z	50.70311 -1.50193	[-0.210741, -0.0191583, -9.4642]
2019-07-03T07:39:09Z	50.70311 -1.50193	[-0.153266, 0.0957915, -9.38756]
2019-07-03T07:39:10Z	50.70311 -1.50193	[-0.191583, 0.0383166, -9.4642]
2019-07-03T07:39:11Z	50.70311 -1.50193	[-0.191583, 0.0766332, -9.38756]
2019-07-03T07:39:12Z	50.70311 -1.50193	[-0.172425, 0.0766332, -9.44504]
2019-07-03T07:39:13Z	50.70311 -1.50193	[-0.191583, 0.0383166, -9.40672]
2019-07-03T07:39:14Z	50.70311 -1.50193	[-0.11495, 0.153266, -9.44504]
2019-07-03T07:39:15Z	50.70311 -1.50193	[-0.306533, 0.172425, -9.3684]
2019-07-03T07:39:16Z	50.70310 -1.50193	[-0.249058, 0.306533, -9.3684]
2019-07-03T07:39:17Z	50.70310 -1.50193	[-0.249058, 0.0574749, -9.4642]
2019-07-03T07:39:18Z	50.70310 -1.50193	[-0.344849, 0.0766332, -9.38756]
2019-07-03T07:39:19Z	50.70310 -1.50193	[-0.210741, 0.0957915, -9.44504]
2019-07-03T07:39:20Z	50.70310 -1.50193	[-0.287374, 0.134108, -9.44504]
2019-07-03T07:39:21Z	50.70310 -1.50193	[-0.364008, 0.229899, -9.38756]
2019-07-03T07:39:22Z	50.70310 -1.50194	[-0.229899, 0.191583, -9.42588]
2019-07-03T07:39:23Z	50.70310 -1.50194	[-0.325691, 0.0574749, -9.48335]
2019-07-03T07:39:24Z	50.70310 -1.50194	[-0.306533, 0.229899, -9.34925]
2019-07-03T07:39:25Z	50.70310 -1.50194	[-0.325691, 0.0574749, -9.3684]
2019-07-03T07:39:26Z	50.70310 -1.50194	[-0.440641, 0.11495, -9.63662]
2019-07-03T07:39:27Z	50.70310 -1.50194	[-0.383166, 0.0766332, -9.3684]
2019-07-03T07:39:28Z	50.70310 -1.50194	[-0.364008, 0.191583, -9.48335]
2019-07-03T07:39:29Z	50.70310 -1.50194	[-0.229899, 0.0574749, -9.42588]
2019-07-03T07:39:30Z	50.70310 -1.50194	[-0.191583, 0.0383166, -9.38756]
2019-07-03T07:39:31Z	50.70310 -1.50194	[-0.268216, 0.0574749, -9.3684]
2019-07-03T07:39:32Z	50.70310 -1.50194	[-0.325691, 0.134108, -9.4642]
2019-07-03T07:39:33Z	50.70311 -1.50194	[-0.249058, 0.210741, -9.42588]
2019-07-03T07:39:34Z	50.70311 -1.50194	[-0.249058, 0.0766332, -9.61746]
2019-07-03T07:39:35Z	50.70311 -1.50194	[-0.249058, 0.0574749, -9.40672]
2019-07-03T07:39:36Z	50.70311 -1.50194	[-0.11495, 0.0191583, -9.4642]
2019-07-03T07:39:37Z	50.70311 -1.50194	[-0.191583, 0.172425, -9.44504]
2019-07-03T07:39:38Z	50.70310 -1.50194	[-0.268216, 0.191583, -9.38756]
2019-07-03T07:39:39Z	50.70310 -1.50194	[-0.249058, 0.210741, -9.50251]
2019-07-03T07:39:40Z	50.70310 -1.50194	[-0.268216, 0.172425, -9.34925]
2019-07-03T07:39:41Z	50.70310 -1.50194	[-0.325691, 0.0574749, -9.44504]
2019-07-03T07:39:42Z	50.70310 -1.50194	[-0.210741, 0.153266, -9.38756]
2019-07-03T07:39:43Z	50.70310 -1.50194	[-0.287374, 0.0957915, -9.44504]
2019-07-03T07:39:44Z	50.70310 -1.50194	[-0.210741, 0.0574749, -9.40672]
2019-07-03T07:39:45Z	50.70310 -1.50194	[-0.210741, 0.153266, -9.54083]
2019-07-03T07:39:46Z	50.70310 -1.50194	[-0.153266, 0.191583, -9.38756]
2019-07-03T07:39:47Z	50.70310 -1.50194	[-0.191583, 0.153266, -9.40672]
2019-07-03T07:39:48Z	50.70310 -1.50194	[-0.421482, 0.229899, -9.42588]
2019-07-03T07:39:49Z	50.70310 -1.50194	[-0.383166, 0.0957915, -9.40672]
2019-07-03T07:39:50Z	50.70310 -1.50194	[-0.249058, 0.249058, -9.42588]
2019-07-03T07:39:51Z	50.70310 -1.50194	[-0.268216, 0.210741, -9.40672]
2019-07-03T07:39:52Z	50.70310 -1.50194	[-0.268216, 0.11495, -9.3684]
2019-07-03T07:39:53Z	50.70310 -1.50194	[-0.229899, 0.0766332, -9.42588]
2019-07-03T07:39:54Z	50.70310 -1.50194	[-0.229899, 0.421482, -9.38756]
2019-07-03T07:39:55Z	50.70310 -1.50194	[-0.210741, 0.344849, -9.40672]
2019-07-03T07:39:56Z	50.70310 -1.50194	[-0.11495, 0.0191583, -9.38756]
2019-07-03T07:39:57Z	50.70310 -1.50194	[-0.153266, 0.210741, -9.4642]
2019-07-03T07:39:58Z	50.70310 -1.50194	[-0.210741, 0.0957915, -9.40672]
2019-07-03T07:39:59Z	50.70310 -1.50194	[-0.229899, -0.11495, -9.42588]
2019-07-03T07:40:00Z	50.70310 -1.50194	[-0.229899, -0.0383166, -9.44504]
2019-07-03T07:40:01Z	50.70310 -1.50194	[-0.191583, 0.0574749, -9.42588]
2019-07-03T07:40:02Z	50.70310 -1.50194	[-0.210741, 0.11495, -9.4642]
2019-07-03T07:40:03Z	50.70310 -1.50194	[-0.191583, -0.0191583, -9.34925]
2019-07-03T07:40:04Z	50.70310 -1.50194	[-0.229899, -0.0574749, -9.3684]
2019-07-03T07:40:05Z	50.70310 -1.50194	[-0.153266, 0.0191583, -9.38756]
2019-07-03T07:40:06Z	50.70310 -1.50194	[-0.249058, 0.0191583, -9.38756]
