$PAXYZ,-8305,15843,3207
$PMXYZ,-12939,15716,-5621
$PGXYZ,-5243,16113,-31457
$PAXYZ,14027,15881,-16866
$PMXYZ,-24998,15751,30115
$PGXYZ,26214,16118,31457
$PAXYZ,-21674,15804,-16866
$PMXYZ,378,15734,3083
$PGXYZ,-2621,15976,26214
$GPRMC,113430.000,A,5038.5574,N,00123.8244,W,0.00,334.18,120120,,,A*72
$PAXYZ,-8961,15873,-11547
$PMXYZ,-6669,15749,29192
$PGXYZ,2622,15831,-2621
$PAXYZ,-4879,15865,12642
$PMXYZ,25564,15721,-9311
$PGXYZ,20972,16024,-2621
$PAXYZ,31149,15863,-16866
$PMXYZ,-11094,15724,-8389
$PGXYZ,7864,15941,-23593
$PAXYZ,-31290,15836,17960
$PMXYZ,8557,15688,-4697
$PGXYZ,-7864,15866,5243
$GPRMC,113431.000,A,5038.5573,N,00123.8244,W,0.01,166.71,120120,,,A*7F
$PAXYZ,-728,15879,13843
$PMXYZ,-14785,15708,-24872
$PGXYZ,2622,16087,26214
$PAXYZ,4738,15834,-10344
$PMXYZ,-12939,15716,13631
$PGXYZ,-18350,16046,10486
$PAXYZ,-27866,15858,-24588
$PMXYZ,11660,15748,20489
$PGXYZ,10486,16060,-10486
$PAXYZ,-31620,15787,28597
$PMXYZ,31499,15706,1237
$PGXYZ,7864,16069,-2621
$PAXYZ,14027,15881,-26300
$PMXYZ,-11094,15724,-5621
$PGXYZ,-20971,16055,26214
$GPRMC,113432.000,A,5038.5573,N,00123.8244,W,0.00,267.00,120120,,,A*79
$PAXYZ,-13769,15889,-12749
$PMXYZ,-7402,15740,-4697
$PGXYZ,-7864,15866,-2621
$PAXYZ,-8632,15794,-910
$PMXYZ,-22565,15715,-24872
$PGXYZ,23593,15375,-5243
$PAXYZ,5793,15875,23280
$PMXYZ,-7591,15745,-12478
$PGXYZ,13107,15923,-20971
$PAXYZ,-27866,15858,-26300
$PMXYZ,378,15734,-7466
$PGXYZ,-23593,16064,-23593
$GPRMC,113433.000,A,5038.5573,N,00123.8244,W,0.01,202.10,120120,,,A*7B
$PAXYZ,20547,15876,27397
$PMXYZ,14093,15712,20489
$PGXYZ,-2621,15976,7864
$PAXYZ,-11401,15870,-20983
$PMXYZ,10003,15735,314
$PGXYZ,-2621,16104,28836
$PAXYZ,5793,15875,-11547
$PMXYZ,2223,15742,-18937
$PGXYZ,-23593,16064,2621
$PAXYZ,-7248,15884,-910
$PMXYZ,19629,15736,314
$PGXYZ,15729,16042,-13107
$PAXYZ,-31290,15836,-27503
$PMXYZ,-30345,15722,31961
$PGXYZ,-5243,16001,-2621
$GPRMC,113434.000,A,5038.5573,N,00123.8244,W,0.00,163.88,120120,,,A*78
$PAXYZ,17451,15903,-28705
$PMXYZ,29256,15737,-24872
$PGXYZ,13107,15923,-13107
$PAXYZ,24628,15868,-7430
$PMXYZ,-12939,15716,23257
$PGXYZ,20972,16024,-23593
$PAXYZ,-30235,15877,-7430
$PMXYZ,-7004,15701,-17092
$PGXYZ,23593,15759,-2621
$PAXYZ,-27866,15858,28597
$PMXYZ,14093,15712,-25795
$PGXYZ,-7864,15866,18350
